title,authors,genre,tags,series,rating
A Court of Thorns and Roses,Sarah J. Maas,Romantasy,,A Court of Thorns and Roses,3
A Court of Mist and Fury,Sarah J. Maas,Romantasy,,A Court of Thorns and Roses,5
A Court of Wings and Ruin,Sarah J. Maas,Romantasy,,A Court of Thorns and Roses,
A Court of Frost and Starlight,Sarah J. Maas,Romantasy,,A Court of Thorns and Roses,
A Court of Silver Flames,Sarah J. Maas,Romantasy,,A Court of Thorns and Roses,
A Game of Thrones,George R.R. Martin,Fantasy,,A Song of Ice and Fire,
A Clash of Kings,George R.R. Martin,Fantasy,,A Song of Ice and Fire,
A Storm of Swords,George R.R. Martin,Fantasy,,A Song of Ice and Fire,
A Feast for Crows,George R.R. Martin,Fantasy,,A Song of Ice and Fire,
A Dance With Dragons,George R.R. Martin,Fantasy,,A Song of Ice and Fire,
Bride of the Shadow King,Sylvia Mercedes,Romantasy,,Bride of The Shadow King,
Vow of the Shadow King,Sylvia Mercedes,Romantasy,,Bride of The Shadow King,
Heart of the Shadow King,Sylvia Mercedes,Romantasy,,Bride of The Shadow King,
The Serpent and the Wings of Night,Carissa Broadbent,Romantasy,,Crowns of Nyaxia,
The Ashes and the Star-Cursed King,Carissa Broadbent,Romantasy,,Crowns of Nyaxia,
The Songbird and the Heart of Stone,Carissa Broadbent,Romantasy,,Crowns of Nyaxia,
The Serpent and the Wolf,Rebecca Robinson,Romantasy,,Dark Inheritance Trilogy,
Dragonfall,L. R. Lam,Romantasy,,Dragon Scales,
Emberclaw,L. R. Lam,Romantasy,,Dragon Scales,
Dune,Frank Herbert,Science Fiction,,Dune Chronicles,
Dungeon Crawler Carl,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
Carl's Doomsday Scenario,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
The Dungeon Anarchist's Cookbook,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
The Gate of the Feral Gods,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
The Butcher's Masquerade,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
The Eye of the Bedlam Bride,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
This Inevitable Ruin,Matt Dinniman,Fantasy,,Dungeon Crawler Carl,
The Three-Body Problem,Cixin Liu,Science Fiction,,Earth's Past,
Death's End,Cixin Liu,Science Fiction,,Earth's Past,
The Dark Forest,Cixin Liu,Science Fiction,,Earth's Past,
A Taste of Poison,Tessonja Odette,Romantasy,,Entangled With Fae,
A Dream So Wicked,Tessonja Odette,Romantasy,,Entangled With Fae,
Apples Dipped in Gold,Scarlett St. Clair,Romantasy,,Fairy Tale Retelling,
The God and the Gumiho,Sophie Kim,Romantasy,,Fate's Thread,
The God and the Gwisin,Sophie Kim,Romantasy,,Fate's Thread,
Fear the Flames,Olivia Rose Darling,Romantasy,,Fear the Flames,
Metal Slinger,Rachel Schneider,Romantasy,,Fire and Metal,
For Whom the Belle Tolls,Jaysea Lynn,Romantasy,,Hell's Belles,
Caught Up,Navessa Allen,Dark Romance,,Into Darkness,
Kingdom of the Wicked,Kerri Maniscalco,Romantasy,,Kingdom of the Wicked,
Mickey7,Edward Ashton,Science Fiction,,Mickey7,
The Final Empire,Brandon Sanderson,Fantasy,Cosmere,Mistborn,5
